,Number of steps,Surface coverage,Schwoebel barrier,Desorption probability,Regime,Growth rate,Rms
0,127.0,0.0102,0.398122,0.0027961,1.0,0.02740649787747126,3.9101167892230597
1,127.0,0.0104,0.699596,3.027e-05,1.0,0.025235990741162496,3.8994349905653625
2,127.0,0.0112,0.009807,3.407e-05,1.0,0.03378233617665812,3.9102463025146723
3,127.0,0.011,0.107849,0.00078516,2.0,0.03245960380176063,3.911590800716065
4,127.0,0.0107,0.212751,0.42249088,2.0,0.03630574173551951,3.9063162759989356
5,127.0,0.0111,0.291647,0.00026432,1.0,0.03192947209750247,3.896471402217086
6,127.0,0.0112,0.748935,0.00013463,1.0,0.027560108952202497,3.8941447522817296
7,127.0,0.0124,0.300128,0.00257919,0.0,0.0008977884453864866,3.8818171785529927
8,127.0,0.0119,0.428613,2.922e-05,0.0,0.0005004593651773976,3.874121746251906
9,127.0,0.0117,0.463743,0.23121734,0.0,0.0016753638798571505,3.8861742150746177
10,127.0,0.0116,0.781936,0.00755449,0.0,0.0008036555076131632,3.8855367485358507
11,127.0,0.013,0.023361,5.239e-05,2.0,0.042479612389389305,3.9100912423066103
12,127.0,0.0128,0.054195,0.00104763,0.0,0.0008297133376229563,3.8813325867441537
13,127.0,0.0134,0.852995,1.279e-05,0.0,0.00042239709081173473,3.876348037135417
14,127.0,0.0142,0.781663,1.605e-05,2.0,0.0391752726830129,3.8993333821106932
15,127.0,0.0137,0.902233,1.35e-06,0.0,0.00040049872662509733,3.875439220399819
16,127.0,0.0153,0.05653,6.04e-06,0.0,0.0008286679103839792,3.8943448575382624
17,127.0,0.0151,0.154305,0.00049755,1.0,0.052731205353583915,3.916826378900732
18,127.0,0.0149,0.190505,0.00047929,2.0,0.051325038987763034,3.9092093420406844
19,127.0,0.0154,0.279987,3.97e-06,1.0,0.05315017700195308,3.914947635737518
20,127.0,0.0148,0.423974,0.00718031,1.0,0.048433509581985654,3.9071121174493206
21,127.0,0.0151,0.443719,1.012e-05,0.0,0.0007071425546362142,3.880855748563931
22,127.0,0.0151,0.667256,2.42e-05,0.0,0.0006162459926771669,3.8733632908085647
23,127.0,0.0147,0.846126,0.00820545,1.0,0.038993568531625784,3.9062125704454265
24,127.0,0.0157,0.439973,0.07721743,0.0,0.0019057248841221374,3.8913181751031782
25,127.0,0.0162,0.46714,0.05338653,0.0,0.0018553997962884568,3.8937182430486406
26,127.0,0.0161,0.675387,0.49964836,0.0,0.002562342162730009,3.8900458888290657
27,127.0,0.0165,0.38514,0.00043735,1.0,0.05788022366626615,3.9236133353630445
